4.84019	0.444532
4.84225	0.442386
4.83037	0.452636
4.83172	0.445893
4.83248	0.446827
4.83403	0.44722
4.83389	0.448158
4.81372	0.450048
4.82095	0.455947
4.83671	0.443562
4.84001	0.444064
4.8419	0.441442
4.83037	0.45121
4.83104	0.44318
4.83192	0.444232
4.83341	0.445027
4.83296	0.444521
4.83671	0.443562
4.84001	0.444064
4.8419	0.441442
4.83671	0.443562
4.84001	0.444064
4.8419	0.441442
4.83037	0.45121
4.83671	0.443562
4.84001	0.444064
4.8419	0.441442
4.83037	0.45121
4.83104	0.44318
4.83192	0.444232
4.83341	0.445027
4.83296	0.444521
4.87274	0.449165
4.80426	0.44155
4.80426	0.44155
4.8419	0.441442
4.80426	0.44155
4.80889	0.441552
4.87274	0.449165
4.87274	0.449165
0	0
0	0
4.88179	0.458958
4.84465	0.460661
0	0
4.84504	0.461192
4.85234	0.460077
4.84504	0.461192
