4.66637	0.546028	0.00603256	0.00140313	0.550911	0.0899922
4.65654	0.546436	0.00600797	0.00140297	0.54929	0.0901359
4.64747	0.549257	0.00598595	0.00140746	0.547769	0.0907051
4.68141	0.543521	0.00606993	0.00139915	0.553409	0.0894491
4.69619	0.540542	0.0061069	0.00139565	0.555868	0.088786
4.64568	0.545907	0.00598098	0.00138903	0.547766	0.090311
4.63764	0.547538	0.00596133	0.00139162	0.546422	0.0906551
4.63285	0.54842	0.00594954	0.00139314	0.545614	0.0908495
4.65854	0.541795	0.0060121	0.00138329	0.5499	0.0895125
4.67268	0.539016	0.00604707	0.00137966	0.552251	0.0889043
4.63437	0.544188	0.00595064	0.00138598	0.545755	0.0902312
4.62812	0.545384	0.0059354	0.00138793	0.544718	0.0904703
4.62427	0.546409	0.00592608	0.00138979	0.54407	0.0906676
4.64632	0.539782	0.00597937	0.00137917	0.547755	0.0893801
4.65782	0.538422	0.00600796	0.00137732	0.549672	0.0890532
4.68744	0.548418	0.00608834	0.00141945	0.554362	0.0897571
4.67263	0.551361	0.00605152	0.00142367	0.551897	0.090393
4.66224	0.553136	0.00602572	0.00142633	0.550162	0.0907916
4.70328	0.547469	0.00612844	0.00141937	0.556947	0.0894853
4.7199	0.545524	0.00617057	0.00141676	0.559694	0.0889873
4.69684	0.557107	0.00611389	0.00144252	0.55577	0.0911202
4.68269	0.559367	0.00607853	0.00144514	0.553414	0.0916646
4.67114	0.560441	0.00604952	0.00144547	0.551509	0.091952
4.71426	0.553501	0.00615769	0.00143747	0.558676	0.0903121
4.7334	0.548439	0.00620552	0.00142966	0.561864	0.0892332
