run	tgt	date	adc_c	x_peak	x_cut	p_peak	p_cut	qsq_adc	rms_adc	Ent_adc	qsq_x	rms_x	ent_x	qsq_p	rms_p	ent_p	qsq_xylo	rms_xylo	ent_xylo	qsq_xyhi	rms_xyhi	ent_xyhi
21108	Pb2	Jul.24	509.5	-0.0392177	-0.073275	0.94963	0.947612	0.00638004	0.0012315	1547150	0.00635662	0.00123045	1597150	0.00633226	0.00123314	1595780	0.0063551	0.0012257	1584800	0.00636368	0.00123125	1580040
21121	Pb2	Jul.24	510.5	-0.03913	-0.073275	0.949604	0.947537	0.0063721	0.00122769	697789	0.00635784	0.0012249	715765	0.00633293	0.00122798	720192	0.00635901	0.00122252	711631	0.00636438	0.001227	708664
21185	Pb10	Jul.31	502.5	-0.0406569	-0.075825	0.949476	0.947387	0.00637182	0.00122913	1895010	0.00635804	0.00122529	1945500	0.00633403	0.00122878	1950080	0.00635771	0.00122235	1934980	0.0063656	0.00122747	1923500
21344	Pb7	Aug.29	499.5	-0.0370363	-0.075825	0.949745	0.947537	0.00637409	0.00122054	109146	0.00635633	0.00122017	116198	0.00633531	0.00122066	116122	0.00636032	0.00121431	114540	0.00636035	0.00121924	115486
0																						
0																						
0																						
0																						
