-0.0715	-0.06	4.78448	0.569408	0.556481	0.00632405	0.0222029
-0.0715	-0.062	4.78202	0.569004	0.5561	0.0063174	0.0221803
-0.0715	-0.064	4.78022	0.568713	0.555824	0.00631252	0.0221644
-0.0715	-0.066	4.77905	0.568534	0.555654	0.00630935	0.0221532
-0.0715	-0.068	4.77803	0.568374	0.555503	0.00630648	0.0221433
-0.0715	-0.07	4.77721	0.568246	0.555383	0.00630418	0.0221352
-0.0715	-0.072	4.77628	0.568096	0.555241	0.00630167	0.0221264
-0.0715	-0.074	4.77586	0.568021	0.55517	0.00630043	0.0221212
-0.0715	-0.076	4.77539	0.567945	0.555099	0.00629913	0.0221162
-0.0715	-0.078	4.77509	0.567887	0.555044	0.00629822	0.0221124
-0.0715	-0.08	4.77486	0.567838	0.554997	0.00629757	0.0221097
-0.0715	-0.082	4.77449	0.56777	0.554933	0.00629647	0.0221057
-0.0715	-0.084	4.7743	0.567721	0.554886	0.00629582	0.0221032
-0.0715	-0.086	4.77401	0.56767	0.554838	0.00629496	0.0221001
-0.0715	-0.088	4.77396	0.567644	0.554813	0.00629468	0.0220985
-0.0715	-0.09	4.7738	0.56761	0.554782	0.00629418	0.0220964
-0.0715	-0.092	4.77377	0.567597	0.554769	0.00629398	0.0220948
-0.0715	-0.094	4.77373	0.56758	0.554753	0.00629376	0.0220938
-0.0715	-0.096	4.77353	0.567541	0.554716	0.00629315	0.0220912
-0.0715	-0.098	4.77347	0.567522	0.554698	0.00629289	0.0220899
-0.0715	-0.1	4.77352	0.567516	0.554693	0.00629293	0.0220891
-0.0715	-0.102	4.77344	0.567494	0.554672	0.00629263	0.0220876
-0.0715	-0.104	4.77357	0.567483	0.554661	0.0062928	0.0220876
-0.0715	-0.106	4.77365	0.56747	0.554648	0.00629289	0.0220873
-0.0715	-0.108	4.77367	0.567461	0.55464	0.00629281	0.0220866
-0.0715	-0.11	4.77363	0.567436	0.554616	0.00629263	0.0220854
-0.0715	-0.112	4.77368	0.56742	0.554601	0.00629262	0.022085
-0.0715	-0.114	4.7736	0.567382	0.554564	0.00629228	0.0220835
